Ano,Município,Parcela_das_moradias_sem_banheiro_de_uso_exclusivo,Parcela_da_população_que_não_recebe_água_com_regularidade_adequada,Parcela_da_população_total_que_mora_em_domicílios_sem_acesso_à_água_tratada,Volume_de_água_consumida_per_capita,Volume_de_esgoto_coletado,Volume_de_esgoto_tratado,Volume_de_esgoto_não_tratado,Tarifa_média_de_água,Tarifa_média_de_coleta_de_esgoto,Tarifa_média_ponderada_dos_serviços_de_saneamento,Custo_total_dos_operadores_com_os_serviços_de_saneamento,Custo_total_dos_operadores_com_produtos_químicos,Custo_total_dos_operadores_com_energia_elétrica,Internações_por_doenças_associadas_à_falta_de_saneamento,Taxa_de_incidência_de_internações_por_doenças_associadas_à_falta_de_saneamento,Atraso_escolar_das_pessoas_que_moram_em_residências_com_saneamento_básico,Atraso_escolar_das_pessoas_que_moram_em_residências_sem_saneamento,Investimentos_per_capita_em_saneamento,Renda_induzida_gerada_pelas_operação_de_saneamento,Renda_total_gerada_pelas_operação_de_saneamento,Redução_dos_custos_com_a_saúde
2018,Lucena (Município),0.0,-,0.0,130.42,0,0,616.16,3.68,-,3.68,1837064.96,9567.9,388565.8,9,6.95,1.5,2.51,104.48,939215.45,3139555.48,-
2017,Lucena (Município),0.0,-,0.224,137.33,0,0,657.68,4.07,0,4.07,2103896.83,31493.99,303969.52,6,4.57,1.73,2.91,16.13,1232679.64,4120530.73,-
2016,Lucena (Município),0.0,-,0.001,125.43,0,0,593.58,4.16,0,4.16,2470542.4,26026.29,344675.76,7,5.4,2.0,3.38,83.9,1256895.8,4201479.14,-
2015,Lucena (Município),0.0,-,0.0,141.78,0,0,662.62,3.28,0,3.28,1873822.05,21437.07,358749.19,9,7.03,2.3,3.94,128.66,1107963.65,3703637.28,-
2014,Lucena (Município),0.006,-,0.0,172.82,0,0,797,2.84,0,2.84,1750334.28,21442.61,217893.2,11,8.71,2.66,4.59,223.69,898403.68,3003132.24,-
2013,Lucena (Município),0.016,-,0.208,187.7,0,0,853.66,2.56,0,2.56,2049790.53,18035.07,128593.15,9,7.22,3.07,5.34,76.43,798474.58,2669094.98,-
2012,Lucena (Município),0.027,-,0.135,195.09,0,0,856.56,2.49,0,2.49,1503521.45,14584.08,215280.99,8,6.65,3.54,6.22,0.0,863098.66,2885116.66,-
2011,Lucena (Município),0.037,-,0.223,100.2,0,0,434.57,2.28,0,2.28,1516929.34,6623.46,269126.96,6,5.05,4.08,7.24,0.0,797772.03,2666746.54,-
2010,Lucena (Município),0.047,-,0.0,99.49,0,0,425.95,2.12,0,2.12,1479642.5,0.0,0.0,13,11.08,4.71,8.43,0.0,788856.78,2636945.16,-
2019,Bragança Paulista (Município),0.0,-,0.035,150.09,6512.89,6512.89,2727.05,3.59,2.94,3.28,61384923.24,1935437.78,8790555.3,17,1.01,1.02,1.14,75.13,27014783.08,90303466.3,-
2018,Bragança Paulista (Município),0.0,-,0.05,143.17,6125.09,6125.09,2589.13,3.41,2.79,3.12,64992558.51,1531334.47,6002628.3,18,1.08,1.02,1.14,63.24,24925404.96,83319213.03,-
2017,Bragança Paulista (Município),0.0,-,0.054,141.74,5934.36,5934.36,2558.85,3.16,2.57,2.88,58549721.34,1472241.66,4664028.24,12,0.73,1.22,1.36,39.4,23216975.77,77608374.0,-
2016,Bragança Paulista (Município),0.0,-,0.061,133.54,5472.22,5472.22,2445.12,3.03,2.37,2.72,44019214.91,790734.07,4630470.18,21,1.29,1.46,1.62,64.98,21504400.56,71883675.9,-
2015,Bragança Paulista (Município),0.0,-,0.084,127.97,5103.45,5103.45,2400.83,2.62,1.83,2.26,56300338.02,634951.56,4499300.4,43,2.68,1.75,1.92,56.44,18330362.72,61273684.38,-
2014,Bragança Paulista (Município),0.0,-,0.066,149.05,5819.55,5683.21,2958.88,2.27,1.78,2.04,43700541.77,470586.12,3244318.09,31,1.95,2.09,2.28,66.27,19117007.82,63903236.47,-
2013,Bragança Paulista (Município),0.0,-,0.066,159.84,6118.66,2886.72,6272.77,2.42,1.86,2.16,42200655.17,749964.82,2854584.64,20,1.27,2.5,2.71,272.15,22275464.21,74461143.2,-
2012,Bragança Paulista (Município),0.001,-,0.067,165.01,5994.81,0.0,9035.9,2.25,1.74,2.02,43674925.45,819027.33,2862912.42,8,0.53,3.0,3.21,407.98,21825094.12,72955671.93,-
2011,Bragança Paulista (Município),0.002,-,0.07,163.15,5838.23,0.0,8837.68,2.19,1.73,1.98,41006054.4,641271.25,3380462.25,10,0.67,3.59,3.82,459.71,22484544.03,75160043.23,-
2010,Bragança Paulista (Município),0.003,-,0.079,159.01,5650.6,0.0,8516.8,2.15,1.65,1.92,33439121.44,416278.19,3068888.04,23,1.57,4.29,4.53,313.5,22778487.4,76142620.24,-
2019,Caruaru (Município),0.0,-,0.0,92.52,5818.18,5818.18,6376.8,3.88,2.65,3.47,57495765.48,797896.37,5860255.35,169,4.68,1.42,1.8,68.04,37110666.44,124051405.69,-
2018,Caruaru (Município),0.0,-,0.0,82.96,5137.11,5137.11,5668.65,3.9,2.68,3.49,45375533.85,1097618.04,4850931.26,110,3.08,1.48,1.88,123.17,34759495.33,116192045.86,-
2017,Caruaru (Município),0.0,-,0.0,78.17,4818.86,4818.86,5341.57,3.69,2.59,3.33,65822705.15,1459569.74,24254969.58,120,3.37,1.72,2.19,158.9,32815224.52,109692849.01,-
2016,Caruaru (Município),0.0,-,0.0,78.5,4702.07,4702.07,5374.48,3.72,2.53,3.34,64511761.38,1721833.0,26303994.03,161,4.58,2.0,2.55,123.59,32106340.7,107323232.87,-
2015,Caruaru (Município),0.0,-,0.021,89.52,5027.29,5027.29,6313.63,3.41,2.29,3.06,57400348.51,1739182.71,24538027.06,147,4.24,2.32,2.96,101.75,32712569.53,109349699.78,-
2014,Caruaru (Município),0.005,-,0.064,97.85,5496.0,5496.0,6730.42,3.14,2.13,2.83,52606760.91,1485845.17,18472425.5,196,5.73,2.68,3.45,146.57,33023225.51,110388142.77,-
2013,Caruaru (Município),0.014,-,0.11,99.81,5284.81,5284.81,7007.91,2.95,2.39,2.8,43176770.55,1277409.03,15729175.65,190,5.63,3.11,4.01,27.29,32570931.89,108876241.62,-
2012,Caruaru (Município),0.024,-,0.076,102.39,5024.4,5024.0,7088.45,2.77,2.39,2.68,49295061.23,1935347.71,22376433.37,227,7.0,3.61,4.66,42.41,32348625.7,108133129.26,-
2011,Caruaru (Município),0.033,-,0.076,95.46,4775.04,4775.04,6359.56,2.53,2.18,2.45,45766506.83,1280990.23,20206844.05,156,4.88,4.18,5.42,78.06,30290135.81,101252127.39,-
2010,Caruaru (Município),0.042,-,0.08,96.48,4754.06,4754.06,6335.85,2.46,1.81,2.28,58781163.85,2186971.01,20989494.25,282,8.95,4.85,6.31,108.89,31025276.58,103709513.75,-
2019,Castanhal (Município),0.0,-,0.751,29.0,-,-,-,3.28,-,3.28,19869697.61,335552.32,2907574.93,200,9.96,1.75,2.24,47.42,2969098.91,9924933.42,-
2018,Castanhal (Município),0.0,-,0.749,31.77,0,0,2299.7,2.94,-,2.94,19155450.85,338987.48,2782867.68,203,10.24,1.75,2.24,2.99,2944576.16,9842960.19,-
2017,Castanhal (Município),0.0,-,0.749,33.98,6324.48,0,2421.69,2.3,0,3.05,16895367.73,265796.78,2281917.26,243,12.45,2.0,2.55,14.47,3090733.33,10331525.96,-
2016,Castanhal (Município),0.0,-,0.745,33.21,5520.9,0,2333.98,1.99,0,2.42,15697439.58,326395.97,2304504.29,365,18.95,2.28,2.9,0.0,2539908.48,8490260.29,-
2015,Castanhal (Município),0.006,-,0.675,32.18,5019.79,0,2228.81,1.74,0,2.14,15396041.94,403850.75,1693189.75,354,18.65,2.59,3.3,5.69,2330336.42,7789714.84,-
2014,Castanhal (Município),0.028,-,0.67,32.67,5000,0,2228.81,1.69,0,2.11,13591428.0,299833.0,1640678.0,469,25.09,2.95,3.75,8.19,2468938.64,8253026.37,-
2013,Castanhal (Município),0.049,-,0.751,32.86,0,0,2206,1.72,0,1.72,10938896.0,177390.0,1382637.0,431,23.43,3.37,4.26,0.0,2113678.43,7065482.93,-
2012,Castanhal (Município),0.071,-,0.761,32.85,0,0,2146,1.71,0,1.71,9835803.0,226676.0,1369120.0,251,14.02,3.83,4.85,0.0,2191670.0,7326188.69,-
2011,Castanhal (Município),0.093,-,0.767,32.81,0,0,2109,1.76,0,1.76,10988793.0,187620.0,1469046.0,378,21.46,4.37,5.51,0.0,2370189.99,7922935.06,-
2010,Castanhal (Município),0.115,-,0.726,33.29,0,0,2104.1,1.76,0,1.76,9732643.0,99018.22,1287737.2,575,33.21,4.98,6.27,21.36,2552717.39,8533077.16,-
2019,Teresópolis (Município),0.002,-,0.146,152.0,-,-,-,5.88,-,5.88,27295113.82,370662.95,2453133.38,35,1.92,1.53,2.03,0.65,21611174.47,72240593.59,-
2018,Teresópolis (Município),0.003,-,0.176,169.21,1982,0,11172,4.44,-,4.44,27079022.77,388658.22,1930966.18,54,2.99,1.57,2.08,0.03,20092295.56,67163372.34,-
2017,Teresópolis (Município),0.004,-,0.127,172.89,1973,0,11110,3.92,0,3.92,56596400.37,907874.9,5987760.34,28,1.59,1.8,2.36,4.77,18243846.54,60984483.05,-
2016,Teresópolis (Município),0.005,-,0.129,177.8,1956,0,11330,3.57,0,3.57,48277052.45,715348.31,6288764.25,74,4.24,2.07,2.68,0.9,17547136.39,58655560.35,-
2015,Teresópolis (Município),0.006,-,0.129,178.86,1952,0,11298,3.32,0,3.32,42386760.71,606739.32,5818372.93,50,2.89,2.39,3.03,1.0,17596540.8,58820706.57,-
2014,Teresópolis (Município),0.007,-,0.132,180.52,1954,0,11299,3.51,0,3.51,41679105.44,468497.72,3354710.02,38,2.22,2.75,3.44,2.55,19987129.16,66811828.15,-
2013,Teresópolis (Município),0.008,-,0.128,182.08,1952,0,11288,2.94,0,2.94,40911538.09,454465.7,3205062.69,42,2.47,3.17,3.9,2.46,18077406.0,60428115.16,-
2012,Teresópolis (Município),0.009,-,0.138,183.57,1948,0,11231,3.36,0,3.36,49046346.72,383497.24,3483619.78,46,2.74,3.65,4.42,0.34,22055823.86,73726942.04,-
2011,Teresópolis (Município),0.01,-,0.128,182.04,1948,0,11011,3.03,0,3.03,56816387.92,547974.52,2953263.35,63,3.8,4.21,5.01,1.07,21088221.07,70492494.97,-
2010,Teresópolis (Município),0.011,-,0.147,185.65,1948.1,0,11096,3.05,0,3.05,51386773.74,509035.66,2887380.36,62,3.79,4.85,5.67,1.34,23165943.51,77437786.28,-
2019,Barbacena (Município),0.0,-,0.081,139.04,3707.04,815.93,6152.78,2.97,3.29,3.06,39341347.98,1401553.06,5763526.11,37,2.69,1.19,0.97,22.39,15718915.28,52544287.78,-
2018,Barbacena (Município),0.0,-,0.082,135.13,3514.4,971.64,5755.41,2.76,3.3,2.91,37058608.78,1175376.85,5474082.09,47,3.45,1.18,0.96,23.81,14778708.84,49401419.66,-
2017,Barbacena (Município),0.0,-,0.092,127.85,3444.61,1099.75,5278.61,3.02,3.23,3.08,33172311.68,962901.46,4802200.95,59,4.32,1.38,1.11,16.46,14040608.33,46934139.64,-
2016,Barbacena (Município),0.0,-,0.174,129.33,4506.73,1045.32,5366.54,2.51,2.47,2.5,33973380.11,939621.61,4534700.58,159,11.71,1.62,1.29,34.07,13966185.39,46685362.91,-
2015,Barbacena (Município),0.0,-,0.175,146.57,4323.12,881.18,6336.93,2.34,2.2,2.3,28680143.8,755051.35,4777402.43,32,2.37,1.91,1.53,19.38,13893790.35,46443364.92,-
2014,Barbacena (Município),0.0,-,0.065,129.54,3974.46,875.48,5458.76,2.09,1.99,2.06,24920432.42,762296.36,3167773.68,23,1.72,2.25,1.82,46.49,13328899.41,44555079.88,-
2013,Barbacena (Município),0.0,-,0.075,127.98,3407.35,322.06,5889.7,1.87,1.09,1.52,18236940.52,826868.3,2689625.62,27,2.03,2.65,2.17,87.6,12577599.36,42043677.21,-
2012,Barbacena (Município),0.002,-,0.077,95.48,3320.56,322.06,4142.88,1.66,1.32,1.54,16798350.47,700771.14,2870887.67,15,1.17,3.13,2.58,132.71,12259702.38,40981029.43,-
2011,Barbacena (Município),0.004,-,0.088,94.95,3264.83,322.53,4086.45,1.55,1.23,1.44,15723960.89,552246.41,3120334.57,22,1.73,3.68,3.06,82.33,12324902.2,41198975.66,-
2010,Barbacena (Município),0.006,-,-,94.05,3200.96,332.06,4002.99,1.43,1.12,1.32,16515512.05,376488.04,3163293.98,45,3.56,4.34,3.64,62.24,11624119.16,38856438.34,-
2019,Inhaúma (Município),0.0,-,-,-,-,-,-,-,-,-,-,-,-,1,1.59,1.24,1.12,0,-,-,-
2018,Inhaúma (Município),0.0,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0,1.23,1.11,0,-,-,-
2017,Inhaúma (Município),0.0,-,0.006,130.88,131,131,167.08,1.86,0,1.98,813445.29,2325,291120.29,1,1.6,1.45,1.32,0,247331.41,826765.25,-
2016,Inhaúma (Município),0.0,-,0,131.72,131,131,167.08,1.86,0,1.98,813445.29,2325,291120.29,4,6.45,1.71,1.57,0,256411.9,857118.99,-
2015,Inhaúma (Município),0.0,-,0,132.87,131,131,167.65,1.85,0.25,1.36,900079.2,1154.27,291120.29,1,1.62,2.02,1.87,0,274675.86,918170.69,-
2014,Inhaúma (Município),0.0,-,0.018,137.55,122.23,122.23,184.72,1.48,0.27,1.13,833237.04,225,139697.74,4,6.54,2.38,2.22,0.74,244958.61,818833.57,-
2013,Inhaúma (Município),0.0,-,0.028,165.24,101.02,101.02,264.96,1.27,0.37,1.08,687128.37,967,161266.62,1,1.65,2.8,2.64,23.66,273805.06,915259.83,-
2012,Inhaúma (Município),0.001,-,0,162.72,69.44,69.44,277.76,1.13,0.44,1.02,545846,3837,101202,0,0.0,3.3,3.14,0,247895.61,828651.22,-
2011,Inhaúma (Município),0.004,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0,3.89,3.73,-,-,-,-
2010,Inhaúma (Município),0.006,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0,4.58,4.44,-,-,-,-
2019,Viana (Município),0.329,-,-,-,-,-,-,-,-,-,-,-,-,79,15.06,1.14,1.8,0,-,-,-
2018,Viana (Município),0.354,-,-,-,-,-,-,-,-,-,-,-,-,139,26.61,1.11,1.75,0,-,-,-
2017,Viana (Município),0.379,-,-,-,-,-,-,-,-,-,-,-,-,259,50.06,1.29,2.03,-,-,-,-
2016,Viana (Município),0.404,-,-,-,-,-,-,-,-,-,-,-,-,139,26.99,1.5,2.35,-,-,-,-
2015,Viana (Município),0.43,-,-,-,-,-,-,-,-,-,-,-,-,113,22.05,1.74,2.72,-,-,-,-
2014,Viana (Município),0.455,-,0.593,81.92,0,0,1524.3,0.67,0,0.67,740838.58,293812.5,225804.54,148,29.03,2.02,3.14,0,362883.09,1213024.77,-
2013,Viana (Município),0.48,-,0.591,76.48,0,0,1414.95,0.65,0,0.65,623421.72,169435,177427.35,264,52.08,2.34,3.63,0,378586.67,1265517.78,-
2012,Viana (Município),0.505,-,0.594,78.52,0,0,1440.29,0.45,0,0.45,546724,151000,235000,195,38.8,2.72,4.2,0,277956.51,929137.07,-
2011,Viana (Município),0.53,-,-,-,-,-,-,-,-,-,-,-,-,123,24.66,3.15,4.86,-,-,-,-
2010,Viana (Município),0.555,-,-,-,-,-,-,-,-,-,-,-,-,240,48.49,3.66,5.61,-,-,-,-
2019,Nossa Senhora do Socorro (Município),0.0,-,0.019,120.22,2161.71,2161.71,5896.16,5.25,2.18,4.49,50067857.52,2004201.67,3840583.18,259,14.1,1.46,2.42,136.64,17309101.52,57859871.05,-
2018,Nossa Senhora do Socorro (Município),0.0,-,0.176,71.18,2150.9,2150.9,2564.94,4.88,2.0,4.14,46877042.05,2036416.7,3782477.77,53,2.92,1.45,2.41,12.27,13946216.7,46618612.7,-
2017,Nossa Senhora do Socorro (Município),0.0,-,0.228,73.19,2118.76,2118.76,2741.25,4.42,1.8,3.75,41699831.38,2430973.87,3301868.29,95,5.22,1.67,2.73,1.93,12993282.74,43433199.76,-
2016,Nossa Senhora do Socorro (Município),0.0,-,0.203,78.54,2131.54,2131.54,3018.71,4.32,1.68,3.66,41920984.24,1682862.92,2889085.61,71,3.95,1.92,3.09,15.09,13455872.52,44979518.31,-
2015,Nossa Senhora do Socorro (Município),0.0,-,0.216,81.09,2155.86,2155.86,3093.16,3.7,1.38,3.11,33372860.77,1324928.02,3545460.3,80,4.51,2.22,3.51,0.29,12453698.09,41629507.16,-
2014,Nossa Senhora do Socorro (Município),0.0,-,0.21,81.55,2089.0,2089.0,3119.0,3.3,1.2,2.78,35745654.22,1570585.37,2785339.3,92,5.26,2.56,3.98,2.92,11652566.65,38951530.97,-
2013,Nossa Senhora do Socorro (Município),0.0,-,0.237,76.79,1963.82,1963.82,2872.18,3.28,1.06,2.71,33596176.5,1156446.28,2475680.44,91,5.27,2.95,4.52,16.82,11377528.94,38032150.7,-
2012,Nossa Senhora do Socorro (Município),0.002,-,0.234,80.21,1873.0,1873.0,2963.0,2.97,1.03,2.5,31484962.99,1457434.62,2936466.9,109,6.6,3.41,5.12,29.67,11112781.87,37147169.38,-
2011,Nossa Senhora do Socorro (Município),0.01,-,0.238,77.21,1813.0,1813.0,2782.0,2.47,0.81,2.06,28640543.29,1310260.0,2491223.15,94,5.77,3.93,5.81,32.69,9430301.94,31523072.06,-
2010,Nossa Senhora do Socorro (Município),0.017,-,0.194,75.83,1738.48,1738.48,2713.07,2.43,0.83,2.04,28123007.97,991970.89,2121173.94,91,5.66,4.54,6.59,36.24,9701108.34,32428308.15,-
2019,Senador Canedo (Município),0.053,-,0.01,139.5,650.1,162.52,5711.75,4.77,246.41,4.89,20027745.67,878927.0,4711072.47,70,6.07,0.69,2.4,33.4,9572802.18,31999413.65,-
2018,Senador Canedo (Município),0.056,-,0.064,136.58,591.0,7.09,5587.46,5.13,-,5.13,18148481.37,443630.0,3972575.56,409,36.44,0.69,2.39,19.01,9982971.58,33370504.39,-
2017,Senador Canedo (Município),0.059,-,0.004,111.17,0.0,0.0,4279.36,5.03,0,5.03,16355197.65,736572.0,2814154.9,237,22.47,0.81,2.61,55.56,9011604.05,30123472.78,-
2016,Senador Canedo (Município),0.062,-,0.004,148.02,0.0,0.0,5561.9,3.54,0,3.54,15885339.95,604348.25,3483577.82,374,36.33,0.95,2.85,80.84,8530440.61,28515067.24,-
2015,Senador Canedo (Município),0.065,-,0.0,135.15,0.0,0.0,4951.23,3.08,0,3.08,13861323.29,638576.81,2729678.35,575,57.29,1.12,3.11,86.94,7157979.15,23927281.85,-
2014,Senador Canedo (Município),0.068,-,0.004,132.83,0.0,0.0,4737.51,2.68,0,2.68,8597070.79,333311.99,1728241.52,289,29.57,1.31,3.4,86.82,6413311.74,21438050.36,-
2013,Senador Canedo (Município),0.071,-,0.004,118.67,0.0,0.0,4115.74,2.77,0,2.77,8762072.81,274633.51,2009973.04,356,37.47,1.54,3.71,66.54,6211687.32,20764071.85,-
2012,Senador Canedo (Município),0.074,-,0.008,108.19,0.0,0.0,3521.45,2.74,0,2.74,7303267.38,220549.04,880470.83,275,30.84,1.81,4.05,99.16,5229211.92,17479909.45,-
2011,Senador Canedo (Município),0.077,-,0.032,92.37,0.0,0.0,2928.18,2.65,0,2.65,6276753.44,114543.18,825211.5,247,28.44,2.13,4.42,115.65,4920574.54,16448214.15,-
2010,Senador Canedo (Município),0.08,-,0.02,92.64,0.0,0.0,2855.35,2.53,0,2.53,5455165.91,258226.5,952385.37,374,44.29,2.5,4.97,105.39,4932774.52,16488995.54,-
2019,Barcarena (Município),0.0,-,0.779,28.94,15.7,15.7,1301.3,3.56,-,3.56,12135615.88,286082.55,1403810.11,89,7.14,1.78,1.96,31.4,2376400.82,7943696.24,-
2018,Barcarena (Município),0.019,-,0.81,27.83,0,0,1242.23,2.95,-,2.95,15317126.15,191458.47,1170015.18,121,9.89,1.78,1.96,49.73,1693028.22,5659357.56,-
2017,Barcarena (Município),0.04,-,0.735,29.41,1391.43,0,1301.07,3.14,0,3.14,18326165.69,77683.19,1154632.14,129,10.64,2.0,2.22,0,1779890.3,5949715.12,-
2016,Barcarena (Município),0.062,-,0.758,20.61,628.44,0,891.67,2.72,0,2.72,17574288.16,202833.27,1286173.84,279,23.54,2.25,2.52,174.6,1382307.94,4620699.64,-
2015,Barcarena (Município),0.084,-,0.788,18.53,626.44,0,783.05,2.76,0,2.76,6908943.67,446436.29,1641461.6,234,20.21,2.54,2.87,83.88,1246061.89,4165264.17,-
2014,Barcarena (Município),0.106,-,0.801,15.18,304,0,625.66,1.57,0,1.48,8332911.74,153779.76,882284.82,312,27.63,2.86,3.26,162.65,599289.22,2003269.59,-
2013,Barcarena (Município),0.128,-,0.454,144.07,1200,0,5783,0.55,3.97,0.68,2568000,36000,480000,342,31.1,3.23,3.71,2.42,999495.62,3341056.58,-
2012,Barcarena (Município),0.15,-,0.431,150.34,1200,0,5783,0.55,3.97,0.68,2568000,36000,480000,495,46.97,3.64,4.22,2.57,1074503.41,3591788.33,-
2011,Barcarena (Município),0.172,-,-,-,-,-,-,-,-,-,-,-,-,358,34.87,4.1,4.79,-,-,-,-
2010,Barcarena (Município),0.194,-,-,-,-,-,-,-,-,-,-,-,-,391,39.16,4.62,5.45,-,-,-,-
2019,Aracaju (Município),0.0,0.071,0.003,168.87,21492.74,21492.74,19003.53,6.18,4.64,5.66,379441251.11,18554795.81,39036758.48,598,9.1,1.4,2.13,77.45,147901190.56,494395610.61,-
2018,Aracaju (Município),0.0,0.028,0.002,144.87,19692.6,19692.6,14622.54,5.54,4.5,5.37,369609082.23,13529430.47,27585273.08,194,2.99,1.39,2.12,44.18,132003156.77,441252575.77,0.013
2017,Aracaju (Município),0.0,0.034,0.004,144.8,18705.58,18705.58,15654.1,5.45,4.12,5.17,346335798.22,16045636.49,23674551.44,352,5.41,1.61,2.4,120.1,128668409.59,430105374.27,-
2016,Aracaju (Município),0.002,0.053,0.007,152.42,18221.59,18221.59,17469.17,5.01,3.48,4.69,334819576.95,11857323.91,20356277.06,259,4.04,1.86,2.72,135.83,121571390.71,406381866.92,-
2015,Aracaju (Município),0.004,-,0.008,156.16,15238.9,15238.9,20826.9,4.03,3.21,3.95,263894507.38,8856064.99,23698515.25,207,3.27,2.15,3.09,196.82,105575647.57,352912214.87,-
2014,Aracaju (Município),0.006,-,0.008,159.8,14156.0,14156.0,22227.0,4.38,2.97,3.73,268095337.05,8632340.9,15359376.73,192,3.08,2.48,3.5,129.16,104964792.98,350870285.21,-
2013,Aracaju (Município),0.008,-,0.008,170.66,13621.5,13621.5,24661.5,3.84,2.93,3.62,264351205.44,6480123.84,13925266.23,268,4.36,2.86,3.97,108.39,112877873.34,377321676.06,-
2012,Aracaju (Município),0.01,-,0.009,170.55,13386.0,13386.0,23199.0,4.36,2.94,3.71,248938581.1,8213300.62,16616444.39,420,7.15,3.3,4.51,56.92,118239408.12,395243906.77,-
2011,Aracaju (Município),0.012,-,0.009,170.37,13147.0,13147.0,22892.0,3.94,2.68,3.32,217197675.43,7601108.45,14469853.23,376,6.49,3.8,5.11,199.43,111613591.81,373095508.31,-
2010,Aracaju (Município),0.014,-,0.01,161.63,12247.4,12247.4,21448.0,3.4,2.54,3.19,341031100.0,5788413.35,12377612.71,387,6.78,4.39,5.8,277.06,108521477.29,362759365.39,-
2019,São José dos Pinhais (Município),0.0,-,0.0,249.92,10579.26,10579.26,18916.59,5.95,4.55,3.45,105596923.97,4045281.85,10074196.34,84,2.6,1.18,1.57,117.38,56226747.09,187951542.88,-
2018,São José dos Pinhais (Município),0.0,-,0.0,226.28,9891.08,9891.08,4484.39,27.66,4.29,4.92,93151820.06,2667487.38,8750724.69,66,2.08,1.22,1.63,135.29,49830015.99,166568917.33,-
2017,São José dos Pinhais (Município),0.0,-,0.0,251.91,9285.48,9285.48,4942.08,52.07,3.63,4.28,90593775.78,3355587.56,8215948.76,70,2.28,1.45,1.96,232.09,46084227.69,154047711.17,-
2016,São José dos Pinhais (Município),0.0,-,0.0,122.99,8692.98,8692.98,4898.75,4.03,3.09,3.66,86953795.93,3017850.23,8109925.03,75,2.48,1.72,2.35,108.67,42765869.51,142955293.92,-
2015,São José dos Pinhais (Município),0.0,-,0.012,123.97,8134.35,8134.35,5344.82,3.48,2.65,3.16,83673282.54,3307583.61,8842042.36,94,3.16,2.04,2.82,54.07,38645504.07,129181972.85,-
2014,São José dos Pinhais (Município),0.0,-,0.022,130.49,7926.16,7913.41,6039.11,3.14,2.45,2.89,75546630.08,2821118.84,4955631.82,129,4.4,2.43,3.37,119.47,37521853.22,125425897.29,-
